fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_total_fights,fighter_a_win_percentage,fighter_a_recent_wins,fighter_a_win_streak,fighter_a_sig_strikes_landed_per_min,fighter_a_sig_strikes_absorbed_per_min,fighter_a_sig_strike_accuracy,fighter_a_sig_strike_defense,fighter_a_takedowns_landed_per_fight,fighter_a_takedown_attempts_per_fight,fighter_a_takedown_defense,fighter_a_submission_attempts_per_fight,fighter_a_ko_tko_win_rate,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_total_fights,fighter_b_win_percentage,fighter_b_recent_wins,fighter_b_win_streak,fighter_b_sig_strikes_landed_per_min,fighter_b_sig_strikes_absorbed_per_min,fighter_b_sig_strike_accuracy,fighter_b_sig_strike_defense,fighter_b_takedowns_landed_per_fight,fighter_b_takedown_attempts_per_fight,fighter_b_takedown_defense,fighter_b_submission_attempts_per_fight,fighter_b_ko_tko_win_rate,fighter_b_control_time_per_fight,sig_strikes_landed_diff,sig_strike_accuracy_diff,takedowns_landed_diff,takedown_defense_diff,reach_diff,age_diff
5dab54e34c2cfe01,"November 23, 2024",Flyweight,0,Nyamjargal Tumendemberel,Carlos Hernandez,27.1,67.0,71.0,125.0,9,88.88888889,2,0,3.13,3.29,38,51,2.42,7.806451613,52,2.4,0.0,1.0,31.5,68.0,67.0,125.0,15,66.66666667,4,0,3.83,3.5,45,50,1.56,7.428571429,65,0.2,10.0,19.0,-0.7,-7,0.86,-13,4.0,-4.4
38f1c83c19e99fa2,"November 23, 2024",Flyweight,1,Lone'er Kavanagh,Jose Ochoa,25.9,64.0,67.0,125.0,9,100.0,3,3,3.73,3.42,50,61,1.85,3.7,100,0.0,11.11111111,0.0,24.4,67.0,67.0,125.0,8,87.5,0,0,3.33,3.4,31,59,0.0,0.0,100,1.0,0.0,2.4,0.4,19,1.85,0,0.0,1.5
f5f28a8b472b8012,"November 23, 2024",Bantamweight,1,Xiao Long,Quang Le,27.1,68.0,70.0,135.0,36,75.0,3,1,5.4,4.27,50,50,0.84,3.36,77,0.0,3.703703704,2.26744186,33.6,66.0,70.0,135.0,11,81.81818182,1,1,2.7,4.53,37,47,3.15,9.0,100,0.5,11.11111111,0.610465116,2.7,13,-2.31,-23,0.0,-6.5
86a2f07e0bf20297,"November 23, 2024",Lightweight,0,Maheshate,Nikolas Motta,25.4,72.0,71.0,155.0,14,71.42857143,3,0,3.86,5.64,29,53,0.0,0.0,45,0.0,20.0,0.0,32.3,69.0,70.0,155.0,20,75.0,4,0,3.64,4.5,37,56,0.0,0.0,82,0.0,26.66666667,6.133333333,0.22,-8,0.0,-37,1.0,-6.9
b35e47f2f58ef026,"November 16, 2024",Heavyweight,1,Jon Jones,Stipe Miocic,37.8,76.0,84.0,248.0,29,96.55172414,9,6,4.38,2.24,58,64,1.89,4.2,95,0.5,21.42857143,15.94936709,42.7,76.0,80.0,240.0,25,80.0,7,0,4.67,4.01,52,52,1.74,5.117647059,65,0.0,65.0,0.0,-0.29,6,0.15,30,4.0,-4.9
4f4189009a190e35,"November 16, 2024",Lightweight,1,Charles Oliveira,Michael Chandler,35.6,70.0,74.0,155.0,45,77.77777778,7,0,3.4,3.21,55,49,2.25,5.625,56,2.7,22.85714286,35.68,39.0,68.0,71.0,155.0,33,69.6969697,4,0,4.04,4.52,49,43,1.96,4.780487805,61,0.6,21.73913043,4.76,-0.64,6,0.29,-5,3.0,-3.4
cfd3e62c638fbd1f,"November 16, 2024",Middleweight,1,Bo Nickal,Paul Craig,29.3,73.0,76.0,185.0,8,87.5,6,0,2.36,2.11,59,58,3.34,6.301886792,100,2.9,28.57142857,0.0,37.5,75.0,76.0,205.0,27,62.96296296,4,0,2.52,3.03,44,43,1.52,7.6,37,1.4,47.05882353,0.0,-0.16,15,1.82,63,0.0,-8.2
8545a2495db16538,"November 16, 2024",Women's Flyweight,1,Viviane Araujo,Karine Silva,38.5,64.0,68.0,115.0,19,68.42105263,5,0,4.04,4.87,47,56,1.86,4.325581395,80,0.7,7.692307692,9.666666667,31.4,65.0,67.0,125.0,23,78.26086957,5,0,3.04,3.14,38,47,2.79,5.58,0,1.9,0.0,14.0,1.0,9,-0.93,80,1.0,7.1
55eebc2ee92bf00a,"November 16, 2024",Catch Weight,1,Mauricio Ruffy,James Llontop,28.9,71.0,75.0,155.0,13,92.30769231,4,4,4.54,4.59,58,61,0.0,0.0,100,0.0,25.0,1.066666667,25.8,72.0,73.0,155.0,19,73.68421053,1,0,5.57,4.12,41,57,0.0,0.0,54,0.0,0.0,5.333333333,-1.03,17,0.0,46,2.0,3.1
2a930e2d7e1f87a9,"November 16, 2024",Bantamweight,0,Jonathan Martinez,Marcus McGhee,31.1,68.0,70.0,135.0,25,76.0,7,0,4.44,4.09,49,56,0.38,1.085714286,68,0.1,26.31578947,3.8,35.0,68.0,69.0,135.0,11,90.90909091,4,4,6.06,2.83,48,64,0.46,1.393939394,100,0.5,20.0,0.0,-1.62,1,-0.08,-32,1.0,-3.9
35c8223cc967fe0a,"November 16, 2024",Lightweight,1,Jim Miller,Damon Jackson,41.7,68.0,71.0,155.0,57,66.66666667,6,0,2.92,3.44,42,56,1.5,3.333333333,48,1.7,21.05263158,0.0,36.8,71.0,71.0,155.0,32,71.875,5,0,2.96,3.47,42,49,2.3,7.1875,37,1.2,13.04347826,9.87804878,-0.04,0,-0.8,11,0.0,4.9
c565e2baa27cc7e5,"November 16, 2024",Lightweight,1,David Onama,Roberto Romero,30.9,71.0,74.0,145.0,16,87.5,6,4,5.24,4.73,50,52,1.08,3.6,52,0.5,14.28571429,17.53333333,25.3,68.0,70.0,145.0,14,57.14285714,0,0,4.56,6.44,49,44,0.0,0.0,71,0.0,12.5,4.933333333,0.68,1,1.08,-19,4.0,5.6
6c1faa6284428e5d,"November 16, 2024",Heavyweight,1,Marcin Tybura,Jhonata Diniz,39.5,75.0,78.0,249.0,36,75.0,7,2,3.6,3.31,48,55,1.39,4.212121212,75,0.1,33.33333333,43.4,33.9,76.0,79.0,254.0,9,88.88888889,3,0,3.36,2.96,53,49,0.0,0.0,69,0.0,37.5,3.6,0.24,-5,1.39,6,-1.0,5.6
00414fc5519233b4,"November 16, 2024",Welterweight,0,Mickey Gall,Ramiz Brahimaj,33.3,74.0,74.0,170.0,14,50.0,3,0,3.5,4.72,49,49,1.15,3.59375,37,1.6,42.85714286,0.0,32.5,70.0,72.0,170.0,16,68.75,3,0,2.26,4.04,44,43,1.51,4.314285714,44,1.5,18.18181818,1.028571429,1.24,5,-0.36,-7,2.0,0.8
9676a4e9362e4bfd,"November 16, 2024",Welterweight,0,Bassil Hafez,Oban Elliott,33.3,71.0,72.0,170.0,14,64.28571429,1,0,3.71,5.68,38,41,2.21,9.208333333,50,0.0,11.11111111,0.5625,27.4,72.0,72.0,170.0,14,85.71428571,4,4,4.26,2.25,49,62,2.16,4.32,72,0.0,8.333333333,0.46875,-0.55,-11,0.05,-22,0.0,5.9
40e2a7b65794ac05,"November 16, 2024",Women's Flyweight,0,Veronica Hardy,Eduarda Moura,29.5,64.0,64.0,125.0,15,60.0,4,0,3.12,3.48,45,49,0.93,2.268292683,55,0.3,11.11111111,0.0,31.2,66.0,66.0,125.0,12,91.66666667,3,0,2.6,2.45,49,53,4.37,12.48571429,100,0.4,9.090909091,16.86666667,0.52,-4,-3.44,-45,-2.0,-1.7
